,id,titulo do artigo,abstract,classificacao_llm_final
63,64,Re-politicizing participation or reframing environmental governance? Beyond indigenous’ prior consultation and citizen participation,"Recent studies explore how participatory mechanisms such as prior consultation/consent processes and participation in Environmental Impact Assessments (EIAs) might reinforce the mediating role of the state between social groups and companies at the same time that creates political opportunities for promoting social demands. This article problematizes these ideas by deepening the understanding of participatory mechanisms within broader environmental governance structures. The focus of the article is Peru, the first Latin American country that has passed a General Law of prior consultation for indigenous peoples, and currently is struggling to articulate this mechanism to participatory stages in EIAs. From an engagement with the literature on political ecology and development studies, this article explores the limitations of indigenous participation within an environmental governance that prioritize the promotion of investments in extractive industries. In particular, by exploring the challenges and limitations of indigenous decision-making power in new institutions for consultation and EIA participation, the article holds that participatory mechanisms themselves are unable to provide more power of decision to indigenous peoples if policy-makers translate claims for institutional transformation (related to indigenous self-determination and ecological zoning) into merely participatory provisions of specific projects. The result is a paradoxical multiplication of weak participatory channels, making the voices of local communities and indigenous peoples auditable, however, without a real compromise to translate these concerns into public policies beyond participatory processes. This study is a qualitative investigation whose data collection methods included semi-structured interviews, observation and documentary analysis. The author undertook 38 semi-structured interviews in 2016–2017 with key relevant actors (from state offices, indigenous organizations, and civil society organizations) involved in consultation processes and participation in EIAs, and documentary analysis of EIAs, reports, legal regulations and policy instruments. © 2018 Elsevier Ltd",Forests and Land Use
64,65,ANALISANDO MUDANÇAS INSTITUCIONAIS NA POLÍTICA DE ORDENAMENTO TERRITORIAL URBANO DO DISTRITO FEDERAL À LUZ DO MODELO DAS COALIZÕES DE DEFESA,"This article studies the institutional change process within urban planning policy in the Brazilian Federal District, from 1991 to 2009, taking the Advocacy Coalition Framework (ACF) as theoretical base. We analyze the causes and consequences of the institutional changes that occurred as well as the actors involved and their beliefs addressed to public policy. The research is a qualitative study and has used data collected from an extensive set of documents related to the legislative process and interviews with key actors involved in the public policy in focus. Five advocacy coalitions acting in decision-making arenas on this issue were identified: modernists, developmentalists, social housing coalition, environmentalists and patrimonialists. It is verified that the institutional changes in the last two decades were held by the government under strong pressure of historically hegemonic coalitions. Additionally, we apply the research findings to ongoing debates in the Legislative Chamber of the Federal District, in late 2013, on the Plan for the Preservation of Brasilia Original Plan (PPCUB) and the new Land Use Law (Luos).",Multi-Theme
65,66,"UN environmental policy: Non-State Actors, trends, and the regulatory role of the state","This interdisciplinary article draws from the radical ideas of global political ecology (GPE), environmental politics, ecological economics and the sociological analysis of social movements. It seeks to help bridge the research gap regarding non-state actors' (NSAs) influence on the role of the nation-state and the United Nations in global political ecology and environmental policy, including emission reductions, such as anti-deforestation measures, and environmental justice. We consider NSAs as consisting of two heterogeneous global coalitions: a) civil society organizations (CSOs) and environmental non-governmental organizations, and b) peak corporate organizations with green economy objectives, here denominated green business organizations, representing transnational corporations (TNCs). After a review of prior studies, we present a version of an advocacy coalition framework; identify a timeline of changes in UN architecture and simplified NSA influence categories. We only begin to test very broad hypotheses on relative agency and to compare NSA narratives with UN documents. We show that the architecture of the UN has gradually shifted from favoring civil society to corporations. There is evidence that, in the late 1990s, in comparison with CSOs, TNCs increased their access to nation-states and UN agencies. The TNC narrative changed from a) denying climate change and ignoring the UN to b) recognizing change and guiding negotiations. These shifts in UN architecture, TNC agency and narrative appears to have influenced changes in UN documents towards a corporate global environmental framework, reducing their references to the regulatory and enforcement roles of the state and global binding agreements, shifting global debate towards a voluntary corporate orientation. This may have reduced prospects for reducing emissions and increasing environmental justice. Combining market mechanisms with strong regulatory frameworks is best practice for environmental policy. When nation-states have the will and capacity to command and control, they can reduce environmental degradation. Stronger national government competence and enforcement capacity and binding UN agreements are essential for the effectiveness of market incentives, which may be enhanced by business and civil society initiatives. If CSOs can reunite and regain their strength, maybe they could negotiate with TNCs on a more equal footing. Perhaps UN members could once again become comfortable with the idea of strong states and non-hegemonic global governance. © 2020, University of Arizona Libraries.",Multi-Theme
66,67,Payments for Ecosystem Services as a Policy Mix: Demonstrating the institutional analysis and development framework on conservation policy instruments,"Policy mix analysis has been applied in research on energy, climate, urban and transport policy, and more recently biodiversity conservation and ecosystem services. However, policy mix analysis has thus far been employed at a high conceptual level, focusing on describing interactions between instrument types. Policy mix analysis rarely describes instrument ‘structure’ or functional characteristics in a way that would answer the question ‘what constitutes an instrument’? We describe how the rules-in-use taxonomy of the Institutional Analysis and Development (IAD) framework, developed for research on common pool resource management, can be used to characterize conservation policy instrument interactions. We demonstrate the approach on the well-known payments for ecosystem services (PES) program in Costa Rica and cross-compliance policies, arguing that PES is a policy mix rather than a single economic instrument. Our analysis shows how design features of PES described in the economics literature map to ‘rules-in-use’ in the IAD framework. The framework provides a terminology for defining what constitutes institutional context, comparing economic, regulatory and information instruments, and studying their interactions. The rules-in-use taxonomy of IAD is a ‘structural’ diagnostic approach, which needs to be combined with other tools that analyse the role and ‘agency’ of actors, as part of integrative environmental governance research.",Biodiversity Conservation
67,68,Simulating land use changes under alternative policy scenarios for conservation of native forests in south-central Chile,"In this study, we combined policy analysis with landscape change modeling to simulate outcomes of alternative forest conservation instruments proposed by opposing policy coalitions. In 1992, concern over rapid land conversion to timber plantations (Pinus radiata and Eucalyptus spp.) in Chile gave rise to a protracted policy process resulting in the 2008 Native Forest Law (NFL), which subsidizes reforestation and management with native forest. To date, however, NFL has had little impact on native forest conservation. To understand how the policy process that created the NFL shaped its outcomes, we employed the Dyna-CLUE modeling approach to simulate land use changes in south-central Chile from 1993 to 2007, based on 3 scenarios: (1) enactment of NFL in 1993 when the law was originally debated, and the different configurations of subsidies and regulations proposed in the NFL policy debate by (2) the industrial forestry coalition and (3) the forest conservation coalition. We observed no major difference in native forest loss between simulated outcomes of the industry-advocated policy and the actual NFL legislation. The conservation coalition's policy scenario increased native forest area, primarily in shrub steppe areas, but also via conversion of pine plantations if incentive payments were large enough. However, NFL payments are inadequate to make native forest management a viable economic land use alternative to industrial pine plantations, which are also subsidized in Chile. Gains in native forest cover occurred mostly on lands under ancestral indigenous claims (unrelated to the discussion of the NFL). We conclude that the NFL, even if enacted in 1993, would have been ineffective in preventing native forest loss, because tree plantations are more profitable and NFL regulations were weakened by the industrial coalition that opposed-and strongly shaped-the final legislation. Effective incentives for protecting early-successional forests and shrublands are needed to mitigate further losses and foster recovery of Chile's native forests.",Forests and Land Use
68,69,La capacidad potencial de influencia del sector industrial manufacturero: Un análisis del Programa de Inspección y Vigilancia Industrial en México,"The research contributes to the study of industrial groups and their influence on the environmental regulation in Mexico. Polluting industries have incentives to influence and avoid inspection and verification visits of the Federal Attorney for Environmental Protection (Profepa). Through principal component analysis, it is defined the potential ability to influence of 62 manufacturing industries, based on their organizational structures and power resources. A model is estimated to determine what are the effects of trade links, production, potential ability to influence, and inspection priority for the Profepa, in the visits of the Profepa. The results indicate that the level of production, and the inspection priority for the Profepa determine the inspections; whereas level of priority determines the verification visits.",Energy Transition
69,70,A Iniciativa Yasuní-ITT: uma análise a partir do Modelo de Fluxos Múltiplos,"This paper analyzes the Yasuní-ITT Initiative, a proposed environmental and natural resources policy, by which the Ecuadorian government would renounce the exploitation of major oil reserves. It aims at discussing the Initiative as an innovation on the political agenda based on the social construction of oil exploitation in the Ecuadorian Amazon as a public problem, the development of alternative solutions and their government recognition. The research is grounded on the Kingdon's Multiple Streams Model (MSM) in the agenda setting process, from an extensive literature review. The data concerning the Initiative was collected primarily on scientific literature, as well as documents of institutions and organizations involved in its formulation. Although the Initiative has not been implemented, its evolution in the agenda has highlighted the links between local, territorial disputes and national economic issues, the possibility of economic compensation and a moratorium on exploitation, as well as raising questions concerning political legitimacy. These flows’ linkage was possible through a political window centered on climate change and varied agents such as the Presidency, oil companies, NGOs and social movements, as well as international institutions and other governments. The main contributions to the discussion of public policy and agenda setting concern: the relevance of the combination of discourses, moral (biodiversity, human rights and climate change) and economic in this case; the strong correlation between different scales (national and international) in understanding the political flow; and the procedural view of agents in leading flows and policy windows, by changing their relative capabilities of exercising power.",Climate Change
70,71,Behind certification and regulatory processes: Contributions to a political history of the Chilean salmon farming,"This text follows the public regulatory and the private certificatory paths undergone in the last decade by the widely criticized salmon industry in Chile, with the purpose of exploring the political process that underlies this path. The discussion focuses on the several instances in which both industrial actors and oppositional groups have stabilized those conflicts by sitting down at formally established dialogue tables, which, as we will see, have conducted public and private processes of regulation. In particular, we follow two paths: one promoted and overseen by the public sector and the other a process of self-organization and self-control of the industry at the national and global levels, which initially led to processes of self-certification and third-party certification. We argue that it cannot be reduced to an industrial learning due to the economic cost of disease outbreaks but rather that it is the outcome of a contested political process with interplay between global and local actors. This argument challenges the learning narratives espoused by the industry, contributing to a political ecology of certification processes. It analyzes the outcome of this process showing its contested political and social legitimacy, and the interplay between labor and environment within this regulatory path. © 2016 Elsevier Ltd.",Marine/Ocean Governance
71,72,"Blaming the weather, blaming the people: Socio-environmental governance and a crisis attitude in the Brazilian electricity sector","The governance of natural resources is intrinsically linked with the governance of people. However, in practice, social aspects are often viewed as secondary to more technical and pressing issues in the implementation of projects such as dams. The use of water for electricity production in Brazil is a cas d'excellence that exemplifies how the bypassing of socio-environmental safeguards and democratic participation of affected people leads to conflicts. These conflicts delay infrastructure works, such as the Belo Monte Dam, that are found to be crucial for the equilibrium of electricity supply. Recently, social manifestation have become the scapegoat for the sector's crisis. This article discussed the ""electricity crisis"" from a historical policy analysis perspective. It concludes that the present disregard for social and environmental procedures is a self-inflicted disease that only contributes to the longer-term state of conflicts in the expansion of the electricity sector in Brazil.",Freshwater Governance
72,73,"Why were upscaled incentive programs for forest conservation adopted? Comparing policy choices in Brazil, Ecuador, and Peru","Forest conservation policies could potentially become a centerpiece for climate change mitigation. Incentive-based conservation policies, such as payments for environmental services (PES), are seen as promising approaches to reduce deforestation. Yet, arguably the adoption of upscaled PES programs has remained slow, and when implemented their design often diverges from the principles laid out in the theory-based PES literature. In this article, we concentrate on some political economy forces that could help explaining the gap between PES theory and practice, with respect to policy adoption, including opportunities and challenges in this process. Public policy theories grasp the adoption determinants of three large, government-led incentive programs for forest conservation in the Amazon, in Peru, Ecuador, and Brazil. We use Kingdon's Multiple Streams Framework to analyze decision-making regarding program initiation, including key stakeholder interviews, to understand policy choices. We find that environmental concerns are not always the prime motives for PES programs, as political and institutional contexts limit environmental policy-makers' actions. Yet, policy choice processes become less constrained when environmental issues are closer to a government's priorities.",Climate Change
73,74,Recategorización del Parque Nacional Nevado de Toluca,"Since the Decade of the thirties, the slopes of the Nevado de Toluca volcano have been subject to two territorial configuration processes: the agrarian reform and environmental policy, which decreed a national park on such lands. In 2013 National Park was converted to the Area of Conservation of Flora and Fauna. While this category is more permissive, it turns out to be very restrictive to the ejido Loma Alta, which spreads over the slopes of the volcano. This change involves new rules for the use of natural resources and economic activities. This work aims to study the perceptions of the communities of the ejido Loma Alta, to the recatogorizacion of the National Park Nevado de Toluca.",Biodiversity Conservation
74,75,Converging Divergence: The Diffusion of the Green State in Latin America,"Global processes of policy diffusion result in different types of state development. A broad view of environmentalist reform in Latin America easily reads as top-down diffusion of blueprints and institutional convergence. But such a thesis is reductionist and ultimately misleading, case studies demonstrate. First, diffusion mechanisms matter for divergence: when normative and mimetic mechanisms are relatively strong vis-à-vis coercive forces, formal state change is followed by more meaningful real state change; when the coercive mechanism rules unmatched, green state change ends up being formal for the most part. Secondly, institutional entrepreneurs face shifting opportunity structures for political change; because these opportunities are never uniform, national experiences will differ. Thirdly, national institutional environments provide contrasting domestic resources and cultures for the building of green states; legacy, in short, will condition translation by entrepreneurs. A bridging institutionalist framework helps us make sense of ""converging divergence"". © 2013 Springer Science+Business Media New York.",Forests and Land Use
75,76,Integración de la política ambiental en México: El caso de la política agropecuaria,"This paper analyzes steps towards environmental policy integration (EPI) in Mexico, with special emphasis in agricultural policy. So far, the country has mostly used communicative instruments to reach this aim. Semi-structured interviews with high-ranking officials from the ministries of Agriculture and of the Environment show that even though these measures break ground for public servants with the will to implement the principle of EPI in policy towards the countryside, they fail to make environmentally friendly policies mandatory. Yet, recent efforts to achieve this have attained some success. It remains to be seen if they are preserved and further enhanced by the next administrations.",Forests and Land Use
76,77,De la oposición a la emancipación. un análisis de los conflictos ambientales desde abajo,"This paper presents a reading of environmental conflicts as cultural, social and political laboratories in which protestors start to rework ideas, values and their worldviews. Focusing on the analysis of the conflict from below, we have paid special attention to the individual experiences of members of the affected communities. This is because we want to capture the innermost dimension of the resistance. Based on analysis of three cases of conflict against dams in Spain and Mexico, we will present the outcomes of these experiences at the micro and meso levels, in three main dimensions, territorial, biographical and political. About methodology, the research design includes depth interviews and narrative analysis of the biographical material. This paper will attempt to contribute to the understanding of the cultural processes that lead to the changes of beliefs and attitudes and that allow to demonstrate that environmental conflicts are experiences of emancipation.",Multi-Theme
77,78,Blame Games in the Amazon: Environmental Crises and the Emergence of a Transparency Regime in Brazil,"Expanding on recent debates in environmental governance and political science, we show that the relationship between environmental transparency and public accountability is far from linear and politically neutral. This is particularly true in moments of environmental crises, when transparency regimes are most likely to emerge as an integral part of the palette of blame-avoidance strategies of accountors in their attempt to disqualify accountees' perceptions of environmental harm and irreparable loss. Drawing upon the study of blame-avoidance strategies in political science, we discuss the emergence and evolution over time of deforestation monitoring in Brazil, a transparency regime based on GIS and remote sensing led by the Brazilian National Institute for Space Research since 1989. We arrive at three conclusions. First, the evolution of transparency regimes is conflictual, culturally embedded, and emergent. Second, the relation between accountors and accountees changes over time as blame-avoidance strategies unfold. Finally, solutions in a blame game may cause a future crisis, as the social context changes and becomes incompatible with the transparency regime of the day. Based on these considerations, we argue for the need to understand the instrumental dimension of transparency regimes alongside their normative and substantive dimensions.",Multi-Theme
78,79,New modes of environmental governance in Central America: Constructing a biological corridor policy in Honduras,"New modes of governance, such as network governance or public-private partnership have gained ground in environmental policy. While typically associated with long-term, well-established democracies, these interorganizational processes are emerging in countries with weak democracies such as those in Central America. Scholars on environmental governance are pondering if these new modes of environmental governance make decision-making more inclusive, transparent and accountable, while at the same time promoting effective environmental policy performance. We partially address this question by focusing on public and private actors' articulations of the issue surrounding biological corridors in Honduras. We draw on the institutional analysis framework of policy arrangement developed by Leroy and Ars to provide perspective on the main challenges that network governance confronts in unstable democracies. The case presented here highlights that persistent traditional political forms at the national level hinder network governance. At the same time, emerging collaborative attitudes promoted at local and international level are slowly challenging these traditional forms.",Forests and Land Use
79,80,Movements and the network of environmental justice in Brazil,"This article discusses the development of environmental justice (EJ) in Brazil, particularly since the creation of the Brazilian Network of Environmental Justice (RBJA, by its initials in Portuguese). The RBJA, created in 2002, takes EJ as an integrating and mobilizing concept, because it connects the environmental, social, and ethical dimensions of sustainability and development. Such a concept reduces the fragmentation and isolation existing within several social movements and local communities. I intend to provide some evidence on how RBJA and some social movements are using the concept of EJ in their work, taking as a reference several documents that circulated in the network between 2002 and 2009, as well as the Map of Environmental Injustice and Health in Brazil. The conceptual EJ debate in Brazil has been influenced by social sciences and political ecology, which criticize the capitalistic development model adopted in Brazil that creates social and environmental inequality. EJ arises as a field of reflection and mobilization, and also as a rallying point to identify the struggle of several individuals and entities, such as trade unions, grassroots movements of residents, traditional populations, small agricultures and the landless workers' groups affected by different hazards and risks, environmentalists, and scientists. The RBJA is significantly contributing to spread EJ discussions and mobilizations with different strategies and tools, such as meetings, campaigns, a Web site and an Internet database with EJ documents available. The article ends with some current trends that will probably mobilize the RBJA for the next years. © 2012, Mary Ann Liebert, Inc.",Multi-Theme
80,81,Brazil and the politics of climate change: beyond the global commons,"Assessing the changing role of the emerging powers in global climate change negotiations, with special attention to Brazil, we ask why they have agreed to voluntary reductions at home without formalising those commitments in ways that might persuade other large emitters to make similar binding commitments. We argue that for very large emitters, the climate issue does not evince the 'global commons' logic often attributed to it. Instead, since their actions can directly affect climate outcomes alone or in small groupings, large emitters are more responsive to domestic cost-benefit calculations, making international commitments based on shifting interest group pressures at home. In Brazil, a coalition of 'Baptists and bootleggers' found principled and interest-driven reasons to support new climate commitments after 2007.",Climate Change
81,82,"Conhecimentos técnicos, políticas públicas e participação: o caso do Conselho Nacional do Meio Ambiente (Conama)","This article explores the relationship between the political and technical spheres within environmental policy management councils in Brazil, based on research carried out by the National Council of the Environment (Conselho Nacional do Meio Ambiente (Conama)). Literature on the council shows that the presence of specialized knowledge can generate assymetrical power relations among actors, permitting the more skilled sectors control over political and deliberative processes. . This enables us to see how the presence of theoretical knowledge within the councils can lead to their depolitization, demonstrated by the use of technical, scientific, juridical and bureaucratic terms and procedures that empty the councils of their political functions. According to the obstacles we have pointed out, existing literature advocates efforts toward a reduction in technical management in favor of a repolitization of these spaces. . The results of the study we have developed here partially confirm elements present within the literature. Our conclusions indicate that specialized knowledge is an element that is inherent to the functioning of environmental councils. Furthermore, reduction of technical elements may prove harmful in terms of the quality of acts and deliberations that emerge from the Conama, with onus for the legal apparatus of Brazilian environmental legislation and negative impact on the implementation of public policy.",Energy Transition
82,83,Conflict and Cooperation along International Rivers: Crafting a Model of Institutional Effectiveness,"The management of international rivers is increasingly marked by a heightened attention to and growth in institutions at the river-basin level to promote cooperation and resolve conflicts between states in a basin. Yet, little theoretical and empirical research exists to understand when these institutions are most effective. Here we draw from diverse literatures, including work on social and ecological systems, international institutions, common-pool resources, and international waters, to capture and integrate the design elements associated with effective collaborative management along an international river. We apply and test the validity of our model in a plausibility probe through the analysis of the conflict between Argentina and Uruguay over the construction of pulp mills along the Uruguay River, and the role of the established and functioning river basin organization-the Administrative Commission of the Uruguay River (CARU)-in this conflict. We re-examine our model based on our case findings to highlight the challenge and role of public input and representation in institutional effectiveness along international rivers.",Multi-Theme
83,84,INSTITUTIONAL SUBVERSION AND DEFORESTATION: LEARNING LESSONS FROM THE SYSTEM FOR THE ENVIRONMENTAL LICENCING OF RURAL PROPERTIES IN MATO GROSSO,"This article contributes to the public administration and environmental governance literature by proposing the notion of institutional subversion as a way of describing how the strategies adopted by local actors may change and even go against the initial aims of institutional development initiatives. The article discusses the case of the system for the environmental licencing of rural properties (SLAPR), an institutional development initiative by the state government of Mato Grosso in the south-eastern portion of the Brazilian Amazon. It will be shown that even though this initiative has earned the status of best practice in controlling deforestation, a closer look at SLAPR reveals that it has led to contradictory outcomes. During the first 8?years of SLAPR, it had no significant impact on reducing deforestation and, in some cases, even permitted the increase of total deforestation by providing authorization for this. According to an institutional analysis of the case study, the article draws particular conclusions that could be relevant to public administrators in the region and in other countries. In particular, it is argued that by accepting the possibility of institutional subversion, public administrators may become more attentive to unexpected consequences and be able to take corrective action. Furthermore, in order to avoid institutional subversion, public administrators should integrate institutional initiatives into broader governmental, technological and economical dimensions. Copyright (c) 2012 John Wiley & Sons, Ltd.",Forests and Land Use
84,85,A inclusão de catadores em programas de coleta seletiva: da agenda local à nacional,"This article aims to discuss the issue of social and productive inclusion of collectors of recyclable materials, present previously only in local public policy agendas and that has now reached the national governmental agenda. The theoretical discussion is based on Kingdon´s (1995) multiple streams theory, highlighting its limitations in the analysis of the phenomenon under study. The methodological procedures used were: bibliographical review, participative observation in events for collectors secondary data collection, spontaneous conversations and semi-structured interviews. We observed that to a certain extent there was a junction of Kingdon´s (1995) three streams: a problem gained public recognition, a political environment favorable to the emergence of issues such as this agenda, and a viable alternative to the problem presented itself - the inclusion of collectors in solid waste selective collection programs -, which do not respond completely to the dimensions of the problem. Civil society organizations played an essential role in this process. However, the multiple streams model does not conceive of a ""bottom-up"" agenda setting process, nor does it consider the influence of extra-institutional actors, such as civil society organizations, on the agenda setting process. As such, the model is unable to explain the complex relations between the State and civil society in Brazilian reality.",Energy Transition
85,86,"Making environmental law for the market: the emergence, character, and implications of Chile's environmental regime","As one of the earliest and deepest cases of neoliberal reform, Chile's political economic model has been the subject of extensive debate. The associated environmental law and policy that emerged in this context has, however, received little attention. The country's environmental policy-making process as well as the character and effects of the environmental regime that emerged are examined. Environmental policymaking has been tightly constrained by institutional and political arrangements that embody neoliberal principles such that legislation only advances when internal demands connect up with global forces. As a result, and despite many regulatory initiatives, the environmental regime expresses a strongly market-enabling quality instead of the market-regulating character commonly ascribed to environmental law and policy.",Multi-Theme
86,87,When Experts Do Politics: Introducing Water Policy Reform in Brazil,"This article brings to the fore the role of experts as policy agents by analyzing the water management reform in three Brazilian states. Seeking to contribute to the recent ideational turn in political science, it contends that in studying the emergence and implementation of new policy ideas, more attention must be paid to the role of experts as policy innovators and to the interplay between experts' knowledge brokerage and the influence of party politics. To examine the interaction between knowledge brokerage and party politics, comparative case studies were conducted to trace back throughout their different phases the reform processes of the Brazilian states of Ceara, Parana, and Rio Grande do Sul. The purpose of this research design is to test the argument that experts are major reform agents and that what experts can effectively achieve depends on both the reform phase and the political context they find themselves in.",Multi-Theme
87,88,Chilean congressional politics under President Lagos: Environment and politics in Chile 2000-2006,"Little is known about the legislative process and in particular how this relates to environment in Latin America. This article attemps to partially close this gap by discussing the dynamics of congressional environmental politics in Chile under former President Lagos (2000-2006). At first, this article discusses the role of the executive branch in the legislative process, congressional authority and environmental policy. This sometimes uneasy relationship is explored, and its consequences over environmental politics are discussed. The second part of the article attempts to explain legislator's choices in the area of environmental policy, developing and testing four main hypotheses that eventually help to explain why legislators support/reject laws of positive/negative environmental relevance. Finally, this article draws general conclusions on Chilean congressional politics and environmental policy, to then propose some recommendations on how to improve the process of creating environmental policy in Congress. © 2010 Taylor & Francis.",Energy Transition
88,89,From protest to professionalization: Brazilian Environmental activism after Rio-92,"In the past decade, environmental activism in Brazil has experienced a substantial tactical shift. Many activists have gained access to national political offices, the most prominent of whom is Marina Silva at the Ministry of the Environment. This research shows that protest groups of the 1980s paved the way for a professionalized form of environmental activism that relies on a firm-like organizational profile and expert staffing. Today, far away from confrontation, environmental activism in Brazil builds on cooperative relationships between political authorities and scientific elites. In this article, the authors argue that the transmutation of the profile of activism was largely stimulated by the availability of new resources and opportunities and the presence of national and transnational alliances available after Rio-92. The argument presented here draws on an analysis of the two biggest and most important environmental organizations in Brazil, namely, the SOS Atlantic Forest Foundation and the Socio-Environmental Institute (ISA). © 2010 SAGE Publications.",Forests and Land Use
89,90,Mobilizing the State: The Erratic Partner in Brazil's Participatory Water Policy,"Studies of participatory governance generally examine the input ( deliberation, participation) and/or output ( accountability) side of policy processes. Often neglected is the throughput: Does the state have the political and technical capacity to implement the decisions that deliberative bodies make? In this study of Brazilian river-basin committees, the authors find that activists inside and outside the state often must collaborate to overcome resistance to change and provide state officials with resources they lack. They argue that this does not constitute the transfer of state responsibility to private actors but rather the mobilization of a state's capacity to defend the public interest.",Multi-Theme
90,91,¿Por qué estudiar las percepciones ambientales?: Una revisión de la literatura mexicana con énfasis en Áreas Naturales Protegidas,"Environmental perceptions are understood as the way in which every individual appreciates and values their environment and influences in an important way on man's decision making concerning the environment that surrounds them. The present paper is a brief review of the Mexican literature on environmental perceptions; analyzing how they influence the decision making concerning environmental management, with an emphasis on Protected Natural Areas (PNA). The paper ends underlining the importance of writing more papers that contribute information about the environmental perceptions of the local populations and the different social actors in PNA, both in rural and urban contexts, in order to make the implementation of the Mexican environmental policies more efficient.",Forests and Land Use
91,92,Políticas intergubernamentales para controlar la contaminación del aire en ciudades mexicanas: Una evaluación,"The increasingly evident deterioration of public health due to atmospheric pollution has forced governments to design and implement diverse policies for the control of air pollutants. Relying on quantitative methods, we investigate the effectiveness of intergovernmental policies for the abatement of air pollution in four metropolitan areas (Guadalajara, Monterrey, Valle de Mexico, and Valle de Toluca) over a ten year period. Our statistical analysis shows that, when observed concurrently, the efforts of these governments to reduce the concentrations of sulphur and nitrogen dioxids have been effective only partially. In the cases of Guadalajara and Monterrey, our qualitative analysis reveals that specific characteris-tics of these policies (the degree of participation of industries and municipal governments) and the existence of international commercial liaisons (export-oriented industries tend to adopt environmental-friendly policies) explain, to a large extent, the evolution of the concentration of pollutants in each city.",Air Pollution
92,93,Fronteiras da gestão: os conflitos ambientais das atividades portuárias,"Only recently have the Brazilian ports been a concern of environmental policy. Due to the large-scale territorial changes it induces, this activity has been associated with many conflicts. Difficulties for decisions about environmental permits related to ports are a result of the belated adoption of environmental management by the sector, especially due to the disarticulation between environmental planning and control. The environmental agenda for ports has been an initiative for establishing management plans based on consensus.",Multi-Theme
93,94,Native forest policy in Chile: understanding sectoral process dynamics in a country with an emerging economy,"Native forests in Chile are subject to an ongoing process of degradation and destruction. In 1992, the Chilean government proposed a new law aimed at the recovery and sustainable management of native forests. However, the proposal, although amended several times has not yet been transformed into law. Powerful private interest groups such as the forest industry and environmental organisations have successfully advocated against one or more of the different proposals. Notwithstanding, recent developments suggest that the worst of the process might be over and a new law may be passed in the near future. Drawing on concepts from policy sciences (advocacy coalition framework, critical sub-sector model), the present work attempts to explain the dynamics in the policy formation process as a result of the clash of fundamentally opposing policy beliefs evident in a critical issue niche or critical sub-sector that blocked changes in the overall policy sub-system for years. However, the increasing availability of private policy instruments (e.g. forest certification) allowed for the removal of this issue from the discussion about statutory policy options and thus relieved the process from a long-standing deadlock.",Forests and Land Use
